Gender,Married,Dependents,Education,Self_Employed,Employment_Type,Property_Area,City_Tier,ApplicantIncome,CoapplicantIncome,Existing_EMI,Savings,Other_Debts,LoanAmount,Loan_Amount_Term,Credit_Score,Loan_Status
Female,No,0,Not Graduate,No,Salaried,Semiurban,1,47088,0,0,44670,390334,1321988,38,611,0
Male,Yes,1,Graduate,No,Salaried,Urban,1,44736,32978,0,489503,0,3759566,42,660,0
Male,Yes,0,Not Graduate,No,Salaried,Rural,2,38485,23265,0,292358,0,1352341,27,699,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,1,154652,26278,21217,368014,238193,525777,33,668,1
Female,No,2,Graduate,No,Self-Employed,Urban,2,69688,27715,6955,12109,502806,696655,15,672,0
Male,Yes,0,Not Graduate,No,Other,Urban,1,50282,0,20879,624034,0,815652,21,718,0
Male,Yes,2,Not Graduate,No,Salaried,Semiurban,2,10973,0,0,396327,511119,731019,55,802,0
Female,Yes,2,Graduate,No,Salaried,Urban,2,78743,11764,0,713950,130572,575335,19,759,1
Female,Yes,0,Not Graduate,No,Salaried,Semiurban,2,259567,109115,0,724982,153464,1080409,56,775,1
Female,Yes,2,Graduate,No,Self-Employed,Urban,1,45089,0,4767,519729,0,594705,40,705,0
Male,Yes,2,Not Graduate,No,Salaried,Urban,2,32016,0,28685,336734,0,2616001,32,568,0
Male,No,0,Graduate,No,Other,Semiurban,2,54699,0,0,382041,17219,320968,16,729,1
Female,Yes,0,Graduate,No,Salaried,Semiurban,3,22754,15647,24008,786392,88549,802587,12,662,0
Female,No,1,Graduate,No,Salaried,Urban,3,64467,28949,0,488690,351917,469224,45,803,1
Male,Yes,3+,Graduate,No,Other,Urban,1,114107,0,23537,27551,0,761136,48,666,0
Male,Yes,1,Not Graduate,No,Government,Semiurban,1,34570,0,12927,375563,0,1576190,39,695,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,1,35190,0,0,783547,468505,1254557,10,790,0
Female,Yes,1,Graduate,No,Salaried,Urban,1,47855,3955,27403,180846,0,2783611,44,576,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,1,37953,6810,0,120727,581711,362584,29,781,1
Male,No,1,Graduate,No,Salaried,Urban,1,21763,20160,14991,143061,0,297571,31,761,1
Male,Yes,2,Not Graduate,No,Salaried,Urban,1,40453,24465,0,220114,0,436175,40,788,1
Male,Yes,1,Graduate,No,Salaried,Semiurban,1,36203,0,0,12248,536420,342460,51,816,0
Male,No,2,Graduate,Yes,Salaried,Semiurban,1,106020,13197,0,98691,0,1227082,27,686,1
Male,Yes,2,Graduate,No,Self-Employed,Urban,1,94394,23896,16020,704988,0,1579118,46,737,1
Female,No,1,Graduate,Yes,Salaried,Urban,1,107828,0,0,794760,273450,2357216,9,780,1
Male,Yes,0,Not Graduate,No,Government,Urban,2,77709,15026,0,558710,0,294303,43,698,1
Male,Yes,2,Graduate,No,Salaried,Rural,1,55991,0,0,6706,0,553101,25,674,0
Male,No,3+,Graduate,No,Salaried,Urban,1,30910,12053,0,420325,0,339103,42,770,1
Male,Yes,0,Not Graduate,Yes,Self-Employed,Urban,1,103688,34997,4718,312231,0,435458,8,688,0
Male,Yes,1,Graduate,No,Government,Urban,2,60540,0,5408,603082,0,1296907,41,524,0
Male,No,0,Not Graduate,No,Other,Urban,3,25168,29782,9712,658271,0,215593,56,714,1
Male,Yes,2,Graduate,No,Self-Employed,Semiurban,1,30246,45950,11422,7940,0,402773,9,763,0
Male,Yes,2,Not Graduate,No,Salaried,Urban,2,24952,12442,0,679455,0,865213,11,576,0
Male,Yes,0,Graduate,No,Other,Semiurban,2,16174,0,0,354783,0,242258,55,597,0
Female,No,2,Graduate,No,Government,Urban,2,61911,36166,0,573248,0,1992865,17,747,0
Male,No,0,Graduate,No,Salaried,Semiurban,3,25309,0,2567,722629,0,553859,6,739,0
Female,Yes,2,Not Graduate,No,Salaried,Urban,3,32991,0,0,346086,193044,3333635,29,678,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,1,51079,0,24720,696472,0,977821,24,776,0
Female,No,0,Graduate,No,Salaried,Urban,2,45090,0,6735,163917,0,677166,9,635,0
Female,Yes,0,Not Graduate,No,Other,Semiurban,2,33771,28390,0,316015,178848,387170,36,812,1
Male,Yes,0,Graduate,Yes,Salaried,Semiurban,3,115288,0,4570,47176,567987,393121,9,642,0
Male,No,1,Not Graduate,No,Self-Employed,Urban,3,21592,0,0,439835,0,361566,25,806,0
Male,No,1,Not Graduate,No,Salaried,Urban,1,22113,0,0,213489,0,1171264,51,768,0
Male,No,0,Graduate,No,Salaried,Urban,1,64317,0,0,197207,0,2083800,41,586,0
Female,Yes,0,Not Graduate,Yes,Self-Employed,Semiurban,3,35433,0,0,582334,0,1284788,8,601,0
Female,Yes,0,Graduate,No,Salaried,Rural,2,34679,28714,0,153544,0,312327,33,741,1
Female,Yes,2,Graduate,No,Salaried,Rural,2,27620,32302,27206,677094,0,910968,59,668,0
Male,Yes,2,Graduate,No,Other,Semiurban,2,60221,35933,14794,27492,431571,801705,34,851,0
Female,Yes,0,Not Graduate,Yes,Self-Employed,Urban,1,56606,28641,1232,631536,0,711791,23,783,1
Female,No,1,Not Graduate,No,Salaried,Semiurban,3,53385,23246,0,590313,0,212996,15,725,1
Male,Yes,0,Not Graduate,No,Salaried,Urban,3,36284,23717,0,341815,1699,151087,17,557,0
Male,No,3+,Not Graduate,No,Salaried,Semiurban,2,33080,24922,0,162721,376782,568003,18,617,0
Female,Yes,3+,Not Graduate,No,Self-Employed,Urban,2,45710,0,24522,45634,0,512711,42,672,0
Male,Yes,1,Graduate,No,Government,Urban,2,85082,16013,0,359956,0,1931566,28,595,0
Female,Yes,3+,Graduate,Yes,Salaried,Urban,1,118452,0,0,574758,0,1477166,38,605,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,1,92136,0,0,762788,0,1119767,7,603,0
Female,Yes,2,Graduate,No,Salaried,Semiurban,1,66034,13533,22686,39977,0,536954,35,642,0
Male,No,1,Graduate,No,Salaried,Semiurban,3,85817,0,0,202403,0,2285514,40,736,0
Male,No,0,Graduate,Yes,Salaried,Rural,1,26100,0,18400,39745,377381,3220610,35,703,1
Male,Yes,0,Not Graduate,No,Salaried,Rural,1,33765,9383,17548,307728,496368,1422184,25,707,0
Female,Yes,0,Not Graduate,Yes,Salaried,Urban,2,66715,0,0,56818,0,620252,31,653,1
Female,No,1,Graduate,No,Self-Employed,Semiurban,1,46853,0,0,350312,0,764493,56,692,1
Male,Yes,0,Not Graduate,Yes,Salaried,Semiurban,1,60198,16878,0,768924,0,5319952,39,741,0
Male,Yes,0,Graduate,No,Self-Employed,Rural,2,85689,0,0,585880,0,1084732,51,627,0
Female,Yes,1,Not Graduate,Yes,Self-Employed,Urban,2,78668,0,0,607636,114168,2184099,59,708,0
Male,No,0,Graduate,No,Self-Employed,Urban,2,27439,21577,29088,108562,113021,729984,54,572,1
Female,Yes,1,Graduate,No,Salaried,Urban,2,50326,21583,9102,334236,354763,466969,29,805,1
Male,Yes,3+,Not Graduate,No,Salaried,Rural,2,30131,0,0,550886,302446,497684,22,700,1
Male,No,2,Graduate,No,Self-Employed,Rural,2,32606,0,9578,292683,0,153425,39,833,0
Male,Yes,1,Graduate,No,Salaried,Urban,2,19512,25308,14842,376555,0,587802,51,718,0
Male,Yes,1,Graduate,No,Government,Rural,1,53812,0,7756,87218,384420,3281925,56,770,0
Female,Yes,1,Graduate,Yes,Salaried,Urban,2,18735,33829,20991,694105,0,1065707,25,685,0
Male,No,0,Not Graduate,No,Salaried,Urban,2,62103,0,0,806,0,665242,42,667,0
Male,Yes,2,Graduate,No,Self-Employed,Semiurban,1,105548,13326,0,376007,0,409101,57,734,1
Female,No,0,Not Graduate,No,Government,Urban,1,66934,0,0,264315,323081,1332515,11,812,0
Male,Yes,0,Graduate,Yes,Salaried,Urban,1,51447,13752,12143,510973,0,1300294,40,672,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,116276,0,0,83451,135817,1279657,13,749,0
Female,No,0,Graduate,No,Government,Semiurban,2,59866,0,22250,244121,0,595355,32,684,0
Female,Yes,0,Not Graduate,No,Salaried,Rural,1,31109,0,0,647948,0,672443,53,776,0
Male,Yes,0,Graduate,No,Salaried,Urban,3,53561,0,0,667511,0,880327,7,759,0
Female,Yes,0,Graduate,No,Salaried,Urban,2,146914,15183,0,731761,0,335114,14,748,1
Female,Yes,0,Graduate,No,Salaried,Urban,3,27414,11289,0,431323,0,2015240,28,543,0
Male,Yes,0,Graduate,Yes,Salaried,Rural,2,23405,10498,0,395854,186304,388547,29,783,0
Male,Yes,1,Not Graduate,No,Salaried,Urban,1,70121,41251,16517,721895,0,3773255,27,590,0
Female,Yes,2,Graduate,No,Government,Urban,3,44203,0,0,765670,0,1075305,19,556,0
Female,No,0,Graduate,No,Self-Employed,Urban,3,37315,0,26488,518882,0,1235688,26,852,0
Male,Yes,2,Graduate,Yes,Other,Semiurban,2,25014,0,18946,71317,0,340924,17,704,0
Female,No,0,Graduate,Yes,Salaried,Urban,1,17106,11547,8500,135547,20480,1042687,58,807,0
Female,Yes,0,Graduate,No,Salaried,Urban,1,22443,0,0,464896,0,1765766,44,620,0
Male,Yes,0,Graduate,No,Other,Urban,3,121538,39937,0,666766,0,1098354,41,761,1
Male,Yes,1,Graduate,No,Salaried,Urban,1,49756,18721,0,605108,146129,978408,38,560,0
Male,Yes,0,Graduate,No,Self-Employed,Urban,2,16991,71858,0,595037,0,747027,59,617,0
Female,Yes,1,Graduate,No,Salaried,Urban,2,95896,0,0,49218,0,1169295,58,821,1
Male,No,2,Not Graduate,No,Self-Employed,Rural,1,98610,14158,10228,25029,553653,684895,60,674,0
Male,No,1,Not Graduate,No,Government,Urban,2,98307,0,2325,772803,0,1112978,6,702,0
Female,No,1,Graduate,No,Salaried,Urban,2,39631,7342,2876,275127,0,2622162,28,799,0
Female,Yes,3+,Graduate,No,Salaried,Urban,2,43128,22394,18911,15640,160719,2087732,48,692,0
Male,No,0,Not Graduate,No,Salaried,Rural,2,53931,0,0,1354,220724,1020304,55,620,0
Female,Yes,0,Not Graduate,No,Salaried,Urban,3,108050,0,1858,417853,0,403056,60,632,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,36848,0,0,181162,0,773466,55,646,0
Female,No,1,Not Graduate,Yes,Self-Employed,Rural,2,33019,33002,5298,473229,0,1231258,8,781,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,2,73306,0,0,786008,0,1301305,28,788,0
Male,Yes,0,Graduate,Yes,Salaried,Urban,1,97233,21157,806,156016,0,1983151,55,669,1
Female,Yes,1,Graduate,Yes,Salaried,Semiurban,3,48569,0,0,662904,0,388807,57,655,1
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,2,72295,18224,5560,635612,398763,1868905,19,652,0
Male,No,0,Graduate,No,Salaried,Semiurban,1,53189,0,0,711731,0,1459487,14,668,0
Female,Yes,3+,Not Graduate,No,Self-Employed,Rural,2,43546,0,0,631551,0,2233774,59,722,0
Female,No,2,Not Graduate,No,Government,Urban,2,31687,10599,0,126765,0,373078,48,783,1
Female,Yes,1,Not Graduate,No,Salaried,Semiurban,1,26506,32901,29532,193924,0,8473507,52,725,0
Female,Yes,1,Graduate,No,Salaried,Urban,3,35655,0,0,625469,0,452515,32,670,0
Male,Yes,2,Graduate,No,Self-Employed,Semiurban,1,29229,16712,0,673983,84409,576321,52,610,1
Male,Yes,0,Graduate,No,Salaried,Semiurban,2,58436,0,0,147220,0,552135,21,612,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,2,97677,9797,3238,622692,0,1389454,30,781,0
Male,No,1,Not Graduate,No,Self-Employed,Urban,1,55937,0,0,421089,0,1082935,33,733,0
Female,No,2,Graduate,No,Salaried,Urban,3,30133,0,12312,512379,0,755319,30,715,0
Male,No,0,Graduate,No,Salaried,Urban,2,80036,0,19704,688961,0,2591047,36,652,0
Male,No,3+,Not Graduate,No,Other,Rural,3,58868,0,11833,108972,0,1570548,28,788,0
Male,No,1,Not Graduate,No,Salaried,Semiurban,2,65639,0,0,369595,0,636458,16,697,0
Female,Yes,0,Graduate,Yes,Government,Semiurban,3,37576,0,0,221201,0,429988,51,666,1
Male,No,0,Graduate,No,Salaried,Urban,1,93258,0,0,712206,466786,1959585,47,706,0
Male,Yes,0,Not Graduate,No,Government,Urban,2,92997,0,12761,243197,0,464658,39,527,0
Male,Yes,2,Not Graduate,No,Salaried,Urban,3,45185,0,0,477216,0,1410590,17,701,0
Female,Yes,3+,Not Graduate,No,Salaried,Urban,1,74230,19573,0,13578,336449,170314,32,677,1
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,1,91637,13517,0,179122,296813,876674,32,829,1
Female,Yes,3+,Graduate,No,Government,Rural,3,38708,0,19220,234204,328979,2642840,59,637,0
Female,No,2,Graduate,No,Salaried,Urban,3,47815,0,16880,559644,0,1269783,49,759,0
Male,Yes,1,Not Graduate,No,Self-Employed,Semiurban,3,52243,0,385,195079,0,2888069,50,657,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,2,27336,23395,18633,532416,370022,632477,25,797,1
Female,Yes,0,Not Graduate,No,Self-Employed,Urban,2,63747,11658,18214,22378,181172,1081081,14,806,0
Female,Yes,1,Graduate,No,Self-Employed,Urban,1,87742,0,0,120628,0,796630,13,641,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,2,46195,28684,27040,385797,0,931892,54,675,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,2,60276,0,0,335660,0,472404,18,660,0
Female,Yes,0,Graduate,No,Salaried,Urban,1,107904,0,0,148030,0,924920,46,848,1
Male,Yes,2,Graduate,No,Government,Semiurban,2,40012,28686,12098,377984,0,751489,6,690,0
Female,No,2,Not Graduate,No,Salaried,Semiurban,2,60957,0,0,576008,0,638178,6,744,0
Female,No,0,Not Graduate,No,Self-Employed,Urban,2,36547,22166,0,95923,0,611326,47,655,0
Female,Yes,0,Graduate,No,Salaried,Semiurban,2,36003,15745,16368,579050,0,683514,60,730,1
Male,Yes,1,Graduate,No,Self-Employed,Semiurban,3,60344,50506,6028,404239,18263,1761121,39,680,0
Male,Yes,1,Not Graduate,No,Self-Employed,Urban,2,57098,0,16250,276482,200697,1033132,36,705,0
Female,No,0,Graduate,Yes,Self-Employed,Semiurban,2,67850,0,0,231337,0,763938,9,586,0
Female,Yes,1,Not Graduate,No,Government,Urban,2,52138,0,0,189953,0,1247408,20,665,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,1,64576,0,0,719291,0,1198331,20,785,0
Female,No,0,Graduate,No,Salaried,Rural,2,124968,27473,0,432583,133363,795836,44,587,0
Female,Yes,0,Graduate,No,Other,Urban,2,89565,39790,0,379485,0,395512,25,604,0
Male,Yes,0,Graduate,No,Salaried,Urban,2,60227,0,0,288504,0,165799,9,645,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,3,66004,11655,0,758417,0,3056190,27,726,0
Male,No,3+,Graduate,No,Self-Employed,Urban,2,42420,9500,0,328508,0,811351,19,833,0
Male,No,0,Graduate,No,Self-Employed,Urban,1,45808,22952,0,638010,0,490501,26,595,0
Male,No,1,Graduate,No,Salaried,Semiurban,2,65554,30526,21089,521730,453472,514314,30,813,1
Female,Yes,0,Not Graduate,No,Salaried,Urban,3,52469,0,8348,608773,0,1704629,26,635,0
Male,Yes,1,Graduate,Yes,Self-Employed,Urban,2,77337,0,0,89068,575879,3784223,43,637,0
Male,No,0,Graduate,No,Salaried,Semiurban,3,100374,8341,17758,320114,0,1814296,13,720,0
Male,No,1,Not Graduate,No,Self-Employed,Semiurban,2,47278,37797,0,680949,0,501513,31,643,0
Male,Yes,3+,Graduate,No,Salaried,Urban,1,16559,0,18231,725772,454795,2926304,51,676,0
Female,No,0,Graduate,No,Salaried,Semiurban,1,153059,0,0,379406,375600,3237328,57,654,0
Male,Yes,2,Not Graduate,No,Salaried,Rural,2,34923,0,16168,72277,0,224695,15,712,0
Male,Yes,0,Not Graduate,Yes,Government,Urban,1,55665,0,0,266322,0,2889314,47,783,0
Female,Yes,0,Not Graduate,No,Salaried,Urban,2,74600,26578,410,391409,548005,477064,39,580,0
Male,Yes,0,Graduate,No,Salaried,Semiurban,3,108522,0,5592,537515,0,1099680,55,677,1
Male,No,0,Not Graduate,Yes,Government,Semiurban,2,135009,25563,0,274311,0,3194044,18,737,0
Male,Yes,0,Graduate,No,Self-Employed,Urban,2,40931,47667,0,235725,0,481514,21,791,1
Male,Yes,0,Graduate,No,Other,Urban,2,96192,7165,0,371286,0,1562673,47,573,0
Male,No,0,Not Graduate,No,Salaried,Semiurban,1,55751,0,0,308248,199662,1733988,34,715,0
Male,No,0,Graduate,No,Government,Rural,2,226056,18811,0,712864,0,1188035,58,618,0
Male,Yes,1,Not Graduate,Yes,Salaried,Semiurban,2,91585,17537,0,669888,0,400387,53,639,0
Female,Yes,3+,Graduate,No,Government,Rural,2,45350,0,0,677696,0,1027683,37,796,0
Male,Yes,0,Graduate,No,Government,Semiurban,1,32324,0,0,380816,0,510925,23,818,0
Male,Yes,0,Not Graduate,No,Salaried,Rural,3,11791,32806,8351,212084,512409,1490000,34,662,0
Female,No,0,Graduate,No,Salaried,Semiurban,2,72464,9829,0,120273,38347,2312440,23,626,0
Male,No,2,Not Graduate,No,Self-Employed,Rural,1,87066,79127,0,780851,0,2559606,9,528,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,3,75341,15818,0,424062,0,2111137,28,740,0
Male,Yes,1,Not Graduate,No,Self-Employed,Rural,3,13703,23754,0,720189,0,249723,22,579,0
Female,Yes,0,Graduate,No,Salaried,Urban,2,25031,0,0,342874,19895,361016,42,833,0
Male,No,0,Graduate,Yes,Government,Urban,2,65135,0,0,83515,0,330259,36,720,1
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,3,133494,0,0,676637,0,743390,24,650,1
Male,Yes,3+,Not Graduate,No,Salaried,Urban,3,48495,0,0,617672,239088,1690237,40,697,0
Female,Yes,2,Graduate,Yes,Salaried,Urban,2,91136,0,5606,791073,108410,837546,49,705,1
Male,Yes,0,Not Graduate,Yes,Salaried,Rural,2,28306,0,4607,43815,0,605409,34,737,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,1,56033,16421,6831,277870,0,270061,41,667,1
Male,Yes,0,Not Graduate,No,Salaried,Rural,1,42989,0,0,267786,0,2138000,32,642,0
Female,No,0,Graduate,No,Salaried,Rural,1,96081,80509,0,3278,0,1443986,27,592,0
Male,No,2,Graduate,No,Government,Urban,1,37155,33507,2865,525596,0,1217430,15,744,1
Female,No,1,Graduate,No,Salaried,Urban,2,125760,49193,19195,264925,0,578659,54,604,0
Male,Yes,0,Graduate,No,Self-Employed,Urban,1,42215,27955,0,481802,543317,1189816,55,541,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,3,27760,0,12392,529872,0,599462,29,639,0
Male,Yes,2,Graduate,No,Salaried,Semiurban,2,28277,24884,11094,108956,0,863763,11,682,0
Male,Yes,1,Not Graduate,Yes,Salaried,Semiurban,2,35505,0,19524,616429,169495,1610133,28,668,0
Male,No,1,Graduate,No,Self-Employed,Urban,1,61303,57157,0,401099,0,390601,34,779,1
Male,Yes,0,Graduate,No,Salaried,Urban,2,35749,23973,0,490787,0,985366,36,661,0
Female,Yes,0,Graduate,Yes,Salaried,Urban,1,31841,0,0,316046,259927,2280229,27,653,0
Male,No,3+,Graduate,No,Salaried,Urban,2,81566,34829,17569,101064,0,3539537,8,770,0
Male,No,1,Graduate,No,Salaried,Rural,2,8549,11987,626,225886,144111,390925,42,696,1
Male,Yes,0,Graduate,No,Salaried,Urban,2,39471,25278,1322,229080,146524,1015953,60,806,1
Male,Yes,1,Not Graduate,No,Salaried,Urban,2,24003,0,24084,356411,189280,591948,41,668,0
Male,Yes,2,Graduate,No,Salaried,Urban,2,31010,18744,0,783630,89766,2428100,11,702,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,3,57173,0,0,355361,0,411102,22,568,1
Male,Yes,0,Not Graduate,No,Salaried,Urban,1,44662,0,0,740029,0,1457259,7,685,0
Female,Yes,1,Graduate,No,Salaried,Urban,3,42498,16541,1392,339983,0,217173,27,676,1
Female,No,1,Graduate,No,Salaried,Semiurban,2,96183,10628,0,555926,391637,1337879,47,543,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,49626,0,1377,349472,0,1698974,52,662,0
Male,Yes,2,Graduate,No,Salaried,Rural,2,135010,0,0,605309,0,592683,11,716,1
Female,Yes,0,Graduate,Yes,Self-Employed,Urban,2,73975,28514,10550,456284,4965,194854,29,581,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,3,29380,0,0,122911,0,1867400,29,762,0
Male,No,3+,Not Graduate,Yes,Self-Employed,Urban,1,144860,0,8003,665999,0,233774,21,607,0
Male,Yes,0,Not Graduate,No,Salaried,Urban,2,58263,0,5904,742478,369686,236418,54,711,1
Female,Yes,1,Graduate,No,Salaried,Semiurban,1,139977,17193,0,115227,408470,1231889,41,835,1
Female,Yes,1,Not Graduate,Yes,Salaried,Urban,1,43192,12162,0,570509,0,1629795,39,720,0
Male,No,1,Graduate,No,Government,Semiurban,2,58075,27081,27492,510841,0,991769,56,668,0
Male,Yes,0,Graduate,Yes,Self-Employed,Rural,1,63414,0,0,405880,26277,245098,12,700,1
Male,No,2,Graduate,No,Salaried,Urban,3,45584,21030,0,103397,0,247793,46,788,1
Female,Yes,2,Graduate,No,Other,Urban,2,100642,13674,0,131050,492074,831739,60,682,1
Male,Yes,1,Graduate,Yes,Salaried,Urban,2,144740,0,475,465734,0,2567428,54,592,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,1,14163,0,12425,308382,0,2348880,59,647,0
Female,No,0,Not Graduate,No,Salaried,Rural,1,78270,19994,0,692248,164405,951295,27,655,1
Male,No,0,Not Graduate,Yes,Salaried,Rural,3,30570,0,0,271917,0,678556,52,676,0
Female,Yes,0,Graduate,No,Government,Semiurban,2,12012,8825,18942,313888,0,230156,26,798,0
Male,Yes,0,Not Graduate,Yes,Government,Urban,1,66445,0,0,231930,570796,670877,22,658,0
Male,Yes,3+,Not Graduate,No,Self-Employed,Semiurban,1,66528,58851,0,754009,315821,491762,58,850,1
Male,Yes,2,Graduate,No,Salaried,Urban,1,72681,0,0,472988,64946,2118270,26,652,1
Female,Yes,1,Graduate,No,Self-Employed,Rural,1,61318,0,0,398126,20694,912624,32,595,0
Female,No,1,Graduate,No,Self-Employed,Urban,3,80905,22411,0,424517,360773,619455,50,643,0
Female,No,0,Graduate,Yes,Salaried,Semiurban,2,35885,21275,801,623058,306066,746191,42,695,1
Male,Yes,3+,Graduate,No,Salaried,Urban,2,57792,0,5005,724279,0,836033,26,631,0
Female,Yes,0,Graduate,Yes,Self-Employed,Urban,3,73406,0,0,114840,0,1212524,46,823,0
Male,No,0,Graduate,No,Government,Semiurban,1,105230,11151,0,94409,0,2593582,27,561,0
Male,No,1,Graduate,No,Self-Employed,Semiurban,2,51220,21354,0,294755,0,448219,51,613,0
Female,Yes,2,Graduate,No,Salaried,Semiurban,2,44453,0,0,274226,596256,253957,46,537,0
Male,Yes,2,Graduate,Yes,Salaried,Semiurban,1,48503,31879,23087,364650,0,409154,33,671,0
Male,Yes,0,Graduate,Yes,Government,Urban,2,25933,0,0,171209,0,749533,31,722,0
Male,Yes,2,Graduate,No,Government,Rural,2,76349,17160,0,166351,373254,638484,16,620,1
Male,Yes,0,Graduate,No,Salaried,Rural,2,22432,30973,0,797582,0,400080,30,679,1
Male,Yes,0,Not Graduate,Yes,Self-Employed,Urban,2,61994,0,0,309473,0,5806949,9,629,0
Male,Yes,2,Graduate,Yes,Government,Rural,2,52380,0,0,332717,376569,1958701,17,694,0
Male,Yes,2,Graduate,No,Government,Rural,2,21305,0,0,137319,0,516518,8,744,0
Female,Yes,1,Graduate,No,Self-Employed,Semiurban,1,21984,32794,11191,137013,0,887828,12,692,0
Female,Yes,1,Not Graduate,No,Salaried,Urban,1,31264,23226,0,720309,133110,1600565,57,797,0
Male,No,2,Not Graduate,No,Self-Employed,Semiurban,2,41382,0,2010,736206,0,1343219,43,609,0
Male,No,2,Graduate,No,Salaried,Urban,1,112875,0,0,730688,0,1046987,59,788,0
Male,Yes,2,Graduate,No,Government,Semiurban,3,47045,20915,18407,39357,0,485120,52,573,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,3,67531,0,0,437701,181991,1453874,60,745,0
Male,No,3+,Graduate,Yes,Self-Employed,Rural,1,100349,8611,0,647987,215471,1377522,27,602,0
Female,Yes,3+,Not Graduate,Yes,Self-Employed,Semiurban,3,90221,26486,0,480250,527358,922692,38,530,0
Male,Yes,0,Graduate,Yes,Self-Employed,Urban,2,49806,50369,0,762002,221099,644956,41,711,0
Male,Yes,2,Graduate,No,Salaried,Semiurban,1,33919,47219,0,453546,0,912276,7,697,0
Male,Yes,1,Graduate,No,Salaried,Urban,2,65785,28137,0,307717,0,890230,43,482,0
Male,Yes,0,Graduate,No,Self-Employed,Urban,2,34293,12698,0,201155,433418,166930,7,646,0
Female,No,1,Not Graduate,No,Salaried,Urban,1,135661,0,19242,788105,0,445613,52,689,1
Female,Yes,0,Graduate,No,Salaried,Urban,1,80584,44287,0,168567,0,594724,10,747,0
Male,Yes,1,Not Graduate,No,Other,Rural,1,56081,0,0,16554,548826,603374,60,783,0
Female,No,2,Graduate,No,Self-Employed,Semiurban,1,66286,0,0,242230,0,357513,59,674,0
Male,Yes,0,Graduate,No,Self-Employed,Semiurban,1,55151,17682,26323,461430,0,298842,25,710,0
Female,Yes,0,Graduate,Yes,Salaried,Urban,2,40831,0,22951,508647,383766,896004,58,753,0
Female,Yes,3+,Graduate,No,Self-Employed,Semiurban,1,65776,16554,0,42632,0,1729850,51,753,0
Male,Yes,0,Graduate,Yes,Self-Employed,Semiurban,1,43747,0,0,253374,87945,517143,36,736,1
Male,Yes,0,Graduate,No,Self-Employed,Urban,1,145067,0,0,172752,307330,1499621,50,794,1
Male,Yes,0,Not Graduate,No,Other,Rural,3,34159,0,13718,495848,13417,745213,50,781,0
Male,Yes,1,Graduate,No,Salaried,Semiurban,2,66145,11727,0,533360,0,1925083,27,703,0
Female,No,1,Graduate,No,Self-Employed,Semiurban,2,32509,24348,4420,49709,0,1121771,45,636,0
Male,Yes,2,Graduate,No,Self-Employed,Urban,2,32323,8299,22862,47464,417351,683338,32,712,0
Male,Yes,1,Graduate,No,Salaried,Urban,3,18721,5288,21101,342886,544704,4935267,20,798,0
Female,Yes,2,Not Graduate,No,Salaried,Rural,2,62698,0,24692,677647,352285,662641,36,630,0
Female,Yes,1,Graduate,No,Other,Semiurban,1,37306,0,580,765381,234091,992690,57,798,0
Male,Yes,0,Not Graduate,No,Salaried,Semiurban,1,90729,0,0,526894,0,1582909,18,670,0
Male,No,1,Graduate,No,Salaried,Rural,1,62761,0,0,151995,254932,498193,11,527,0
Male,Yes,2,Not Graduate,No,Salaried,Semiurban,2,54246,8438,26086,180792,440228,373192,34,650,0
Male,Yes,1,Not Graduate,No,Salaried,Semiurban,1,23017,0,0,469054,353875,1112661,30,599,0
Female,No,0,Not Graduate,No,Government,Urban,1,68973,13683,16569,415005,0,1145956,30,618,0
Male,Yes,0,Graduate,Yes,Salaried,Semiurban,2,34738,0,0,220908,0,594837,9,885,0
Male,Yes,0,Graduate,Yes,Salaried,Urban,2,22736,19741,0,512473,307296,1175933,12,661,0
Male,No,0,Graduate,Yes,Government,Urban,2,63358,0,14125,768083,0,1384690,16,712,0
Male,No,1,Graduate,Yes,Salaried,Rural,2,25027,0,0,136846,0,470423,27,723,0
Female,Yes,0,Graduate,No,Self-Employed,Urban,3,15829,28022,12718,302969,368494,1768473,9,682,0
