Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,CreditScore,Loan_Status
Female,Yes,3,Graduate,Yes,7717,4904,2982807,12,1,Semiurban,856,0
Female,Yes,1,Graduate,Yes,14282,2909,1530161,31,0,Urban,364,0
Male,Yes,3,Not Graduate,Yes,49659,13551,719544,41,1,Rural,779,1
Male,No,2,Graduate,No,44065,17062,3175049,2,1,Rural,789,0
Female,Yes,3,Graduate,No,16201,19768,1767092,41,0,Semiurban,367,0
Female,No,1,Not Graduate,No,18289,8922,327818,8,1,Urban,661,1
Male,Yes,2,Not Graduate,Yes,26406,2025,574864,59,1,Rural,871,0
Male,Yes,2,Not Graduate,Yes,33286,13220,3139155,25,0,Rural,318,0
Male,No,0,Graduate,Yes,14873,13190,1319475,5,1,Semiurban,844,0
Female,No,0,Graduate,Yes,18512,2766,1074199,45,0,Rural,390,0
Female,Yes,1,Graduate,Yes,30927,18482,4080424,2,0,Semiurban,537,0
Female,No,3,Graduate,No,25461,391,363051,42,0,Urban,761,0
Male,No,3,Graduate,Yes,22710,10935,484355,58,1,Urban,323,0
Male,No,1,Not Graduate,No,21952,3784,2973235,38,1,Rural,526,0
Female,No,2,Graduate,No,15448,18069,762675,39,1,Semiurban,680,0
Female,Yes,1,Not Graduate,No,17198,2914,143435,3,1,Urban,305,0
Male,No,1,Graduate,No,9622,13243,3604602,46,1,Rural,869,0
Female,Yes,2,Not Graduate,No,42848,12282,4807499,48,0,Rural,656,0
Female,Yes,3,Graduate,Yes,4402,12965,1543932,38,1,Rural,456,0
Male,Yes,1,Graduate,Yes,38324,11505,629224,22,0,Semiurban,500,0
Female,Yes,3,Not Graduate,Yes,30467,4951,2539910,40,0,Semiurban,524,0
Male,No,1,Graduate,No,36961,7655,3295151,33,1,Urban,762,0
Male,No,2,Not Graduate,No,45007,4610,3918838,52,0,Semiurban,556,0
Male,Yes,2,Graduate,No,22739,17468,4252304,32,1,Semiurban,892,0
Male,Yes,0,Graduate,No,20518,7583,3072721,47,1,Rural,730,0
Male,Yes,2,Not Graduate,No,28547,17701,3127060,17,0,Rural,724,0
Male,Yes,0,Graduate,No,30936,6880,158407,56,1,Urban,706,1
Male,No,1,Not Graduate,Yes,22287,2349,3182245,18,1,Rural,404,0
Female,Yes,3,Graduate,No,43351,19077,4376461,56,1,Rural,551,0
Male,No,2,Graduate,No,27476,7208,3769341,3,1,Rural,398,0
Male,Yes,2,Graduate,Yes,14875,13720,4094028,56,1,Semiurban,477,0
Female,Yes,2,Graduate,No,12686,6881,4917286,6,0,Rural,564,0
Female,Yes,1,Graduate,Yes,19536,3722,3543605,49,1,Urban,431,0
Female,Yes,0,Graduate,Yes,36062,15332,586296,55,1,Urban,498,0
Male,No,1,Graduate,Yes,27041,7224,3767245,13,1,Rural,356,0
Female,No,3,Not Graduate,No,33653,13229,2810524,55,1,Rural,708,0
Male,No,1,Graduate,Yes,23673,7802,363269,54,0,Urban,561,0
Male,Yes,3,Graduate,Yes,12367,11439,3281430,31,1,Semiurban,874,0
Male,Yes,2,Graduate,No,21629,3134,3017748,17,0,Rural,417,0
Male,No,3,Not Graduate,Yes,48105,2598,1239497,21,1,Urban,784,0
Female,No,3,Not Graduate,No,25100,4052,4416748,16,1,Semiurban,620,0
Female,Yes,0,Graduate,No,8654,12741,3628933,17,1,Urban,607,0
Male,Yes,3,Graduate,Yes,27063,3824,1536162,32,0,Semiurban,789,0
Male,No,3,Graduate,No,21322,3520,2716492,1,0,Urban,620,0
Male,Yes,1,Not Graduate,No,21010,1249,3372089,48,1,Urban,655,0
Female,Yes,2,Graduate,Yes,14693,15565,2802031,38,1,Semiurban,819,0
Male,No,1,Not Graduate,Yes,11241,18458,989069,8,0,Rural,825,0
Male,Yes,1,Graduate,Yes,31778,18888,412691,1,0,Urban,323,0
Female,No,2,Not Graduate,Yes,38843,12997,4312429,2,1,Rural,491,0
Female,Yes,2,Not Graduate,No,14651,2014,2648642,47,0,Urban,648,0
Male,No,3,Graduate,Yes,27966,4944,2129014,37,1,Semiurban,324,0
Female,Yes,3,Graduate,Yes,11275,948,3122644,24,1,Rural,689,0
Female,No,0,Graduate,Yes,47606,16490,3533157,27,1,Semiurban,898,0
Male,No,1,Graduate,No,3658,10683,1121999,20,1,Semiurban,867,0
Female,No,2,Graduate,No,30963,14012,4328997,47,1,Rural,489,0
Male,No,3,Graduate,No,8932,4692,4071020,21,1,Rural,327,0
Female,Yes,2,Graduate,No,16248,3240,1624570,42,1,Rural,840,0
Male,Yes,3,Not Graduate,No,26437,9762,1454475,37,1,Semiurban,790,0
Male,No,0,Graduate,Yes,41727,13731,1926342,35,1,Semiurban,787,0
Male,Yes,0,Graduate,No,20201,18018,3409174,38,1,Semiurban,471,0
Female,Yes,2,Not Graduate,No,43150,10130,4871193,53,0,Rural,337,0
Male,Yes,0,Graduate,No,26355,17916,2898475,15,0,Urban,598,0
Female,Yes,2,Graduate,Yes,16999,7608,4581029,50,1,Rural,565,0
Male,Yes,3,Graduate,Yes,8376,12409,3876387,46,1,Urban,326,0
Male,No,1,Graduate,No,5476,17824,2190499,42,1,Semiurban,751,0
Female,No,0,Not Graduate,Yes,6366,11589,1664085,30,1,Urban,768,0
Male,No,3,Not Graduate,No,27733,12437,4604651,4,1,Rural,384,0
Male,No,1,Graduate,Yes,14458,17999,2172270,43,1,Rural,312,0
Female,Yes,1,Graduate,Yes,34795,9705,2925942,52,0,Rural,869,0
Male,Yes,1,Not Graduate,No,22615,15376,4085889,39,1,Urban,558,0
Male,No,3,Graduate,Yes,13164,18982,1047197,15,1,Rural,399,0
Male,Yes,3,Not Graduate,No,41316,11611,1115597,23,0,Urban,560,0
Male,Yes,2,Not Graduate,No,5024,19914,98215,41,1,Semiurban,577,0
Female,No,1,Not Graduate,No,31559,7590,313367,15,1,Urban,365,0
Female,Yes,1,Graduate,Yes,3264,18711,4334466,26,1,Semiurban,900,0
Male,No,1,Graduate,Yes,11047,6565,3816469,12,1,Urban,899,0
Female,No,2,Graduate,No,46985,18360,857958,18,1,Semiurban,677,1
Male,Yes,1,Not Graduate,No,8587,1835,3143724,6,1,Rural,816,0
Female,Yes,3,Graduate,Yes,8577,16738,4199513,18,0,Urban,416,0
Male,No,1,Graduate,No,19635,9797,2798488,57,1,Semiurban,798,0
Male,No,0,Not Graduate,Yes,47564,3195,463552,50,1,Rural,504,0
Male,Yes,3,Graduate,Yes,5870,13868,80796,54,1,Rural,886,1
Male,No,2,Graduate,Yes,36094,9179,3616111,24,1,Semiurban,379,0
Male,No,1,Graduate,No,11217,8345,3131072,38,1,Semiurban,317,0
Male,No,0,Not Graduate,No,19602,906,1791888,28,0,Urban,357,0
Female,Yes,2,Graduate,Yes,2605,11955,1968912,15,0,Semiurban,411,0
Male,No,2,Not Graduate,No,24343,15768,4698977,19,1,Semiurban,896,0
Female,Yes,3,Not Graduate,No,15003,7198,146931,5,1,Rural,614,0
Male,No,2,Not Graduate,Yes,45257,1620,4239982,4,1,Semiurban,461,0
Female,Yes,2,Graduate,Yes,34089,11820,2832773,17,1,Semiurban,623,0
Female,No,2,Graduate,No,19661,11766,2076046,53,1,Semiurban,630,0
Female,Yes,2,Graduate,Yes,18782,8523,3788350,10,1,Rural,879,0
Male,Yes,1,Not Graduate,No,32029,4338,3596547,12,0,Rural,801,0
Male,Yes,1,Not Graduate,Yes,15487,15911,3797256,5,1,Rural,356,0
Female,No,1,Graduate,Yes,49501,16813,608549,7,0,Rural,464,0
Male,No,1,Not Graduate,No,41042,5301,2788807,44,1,Urban,465,0
Female,No,0,Graduate,No,24065,15144,4522155,23,1,Rural,596,0
Male,Yes,1,Graduate,No,12844,13784,2427305,2,1,Rural,303,0
Female,No,2,Graduate,No,21323,2423,3910851,30,1,Urban,709,0
Female,Yes,1,Graduate,No,27397,8272,592519,52,0,Urban,405,0
Male,No,1,Graduate,Yes,47957,1573,3909970,49,1,Urban,865,0
Female,Yes,3,Graduate,Yes,19328,16803,4653445,45,0,Semiurban,465,0
Male,Yes,2,Graduate,No,45739,466,575604,37,1,Rural,553,0
Female,Yes,1,Not Graduate,Yes,40733,15787,327433,5,1,Semiurban,427,0
Female,No,1,Graduate,No,47389,5176,3559954,20,1,Urban,785,0
Male,No,1,Not Graduate,Yes,31715,3393,1671750,26,1,Urban,375,0
Male,No,0,Not Graduate,Yes,41116,9757,1163596,44,1,Urban,520,0
Male,Yes,1,Graduate,No,19580,15164,4612509,44,1,Urban,733,0
Female,Yes,3,Not Graduate,No,2823,12222,135643,39,1,Semiurban,836,1
Male,No,2,Not Graduate,No,28472,18419,1460547,6,0,Urban,738,0
Female,No,2,Not Graduate,Yes,9084,18016,3616223,29,1,Rural,734,0
Female,No,1,Graduate,No,14455,18368,3083012,10,1,Rural,825,0
Male,Yes,1,Graduate,No,12607,3,3389335,51,1,Rural,432,0
Male,Yes,1,Graduate,No,18919,7477,1602816,16,1,Semiurban,740,0
Female,Yes,2,Graduate,No,49004,5998,4833792,34,0,Urban,833,0
Female,Yes,2,Graduate,No,21394,602,3094699,31,1,Semiurban,886,0
Male,Yes,0,Not Graduate,No,12819,7256,2390102,36,1,Rural,690,0
Male,No,3,Not Graduate,Yes,13969,10559,4077662,41,1,Urban,543,0
Male,Yes,0,Graduate,Yes,19333,13686,3183948,58,1,Semiurban,445,0
Male,Yes,3,Not Graduate,Yes,13700,13973,2364659,5,1,Urban,714,0
Male,Yes,0,Not Graduate,Yes,33792,6714,4135390,33,0,Urban,726,0
Female,Yes,2,Not Graduate,No,35311,8376,4787597,43,0,Semiurban,511,0
Female,Yes,0,Not Graduate,No,38668,11701,4355041,19,0,Rural,548,0
Female,No,3,Graduate,Yes,13945,14891,3017597,32,1,Semiurban,334,0
Female,Yes,1,Graduate,Yes,38992,3251,2927156,57,1,Semiurban,552,0
Male,Yes,3,Graduate,Yes,48526,19531,272316,23,1,Rural,585,0
Male,Yes,1,Not Graduate,No,49717,8144,1794188,3,1,Semiurban,509,0
Male,No,2,Not Graduate,No,37634,16438,528706,1,1,Urban,409,0
Female,No,3,Graduate,No,20630,9916,181777,36,0,Rural,629,0
Female,No,0,Graduate,Yes,43036,2910,363654,41,1,Semiurban,441,0
Male,Yes,3,Not Graduate,Yes,26944,18254,882725,28,1,Urban,386,0
Male,No,1,Graduate,Yes,25360,11482,2003230,48,0,Rural,439,0
Female,Yes,2,Graduate,Yes,14813,3348,1069620,39,1,Semiurban,631,0
Female,Yes,0,Not Graduate,Yes,6601,17985,3681526,5,1,Rural,325,0
Male,No,3,Not Graduate,No,14930,5830,4109107,13,1,Urban,661,0
Male,Yes,1,Graduate,No,6333,11529,2978004,11,1,Urban,659,0
Female,Yes,0,Not Graduate,No,7399,8120,2560520,46,0,Rural,514,0
Male,Yes,2,Graduate,No,19839,18474,3255006,22,1,Urban,376,0
Male,No,0,Not Graduate,No,42204,5480,1035359,49,0,Urban,394,0
Male,Yes,2,Not Graduate,Yes,22195,9443,110216,23,0,Rural,517,0
Female,Yes,0,Graduate,No,29848,6370,4842291,12,1,Rural,667,0
Female,No,3,Not Graduate,Yes,25693,170,1360929,53,1,Semiurban,351,0
Female,Yes,1,Graduate,No,49715,2809,2545202,55,1,Semiurban,573,0
Female,Yes,3,Not Graduate,Yes,48729,6993,2571880,53,1,Rural,743,0
Female,No,3,Graduate,Yes,42854,11946,1685349,21,1,Urban,332,0
Female,Yes,2,Not Graduate,Yes,38450,3991,2068039,19,1,Urban,715,0
Female,Yes,2,Not Graduate,Yes,3854,826,4575946,5,1,Rural,724,0
Male,Yes,2,Graduate,Yes,33558,9857,4650548,24,1,Rural,306,0
Male,Yes,3,Not Graduate,Yes,4985,16513,454933,30,1,Rural,794,0
Male,Yes,0,Graduate,No,45585,17801,2142174,8,1,Urban,653,0
Male,No,0,Not Graduate,Yes,21278,6798,3750561,2,1,Semiurban,498,0
Male,No,3,Not Graduate,Yes,42264,17791,3566951,59,0,Semiurban,734,0
Male,No,3,Graduate,No,35326,5136,2450396,49,0,Urban,435,0
Male,No,1,Not Graduate,Yes,21280,17421,1883920,34,1,Semiurban,587,0
Female,Yes,2,Not Graduate,No,36022,12491,2073715,59,1,Rural,866,0
Female,Yes,2,Graduate,No,17667,7546,4820608,23,1,Rural,707,0
Male,Yes,3,Not Graduate,Yes,20065,5903,1348513,3,1,Urban,635,0
Male,Yes,3,Graduate,Yes,23655,13855,1249968,56,0,Urban,301,0
Female,Yes,0,Graduate,No,12006,16406,1117877,52,1,Rural,484,0
Male,No,3,Graduate,Yes,8283,14949,304531,58,1,Rural,860,1
Male,No,0,Not Graduate,No,43622,9825,3476845,58,1,Urban,737,0
Female,Yes,3,Not Graduate,Yes,47076,6287,2052131,24,1,Urban,321,0
Male,Yes,1,Graduate,No,5325,12193,748119,18,0,Rural,511,0
Female,Yes,1,Not Graduate,Yes,32783,1405,559365,47,1,Rural,776,1
Male,No,0,Graduate,Yes,5143,9670,1061684,37,1,Semiurban,765,0
Female,Yes,2,Not Graduate,No,37805,17578,2246169,54,1,Semiurban,533,0
Female,Yes,1,Graduate,No,14417,8767,2145187,49,1,Rural,471,0
Female,Yes,0,Graduate,No,33300,7923,4243211,31,1,Urban,817,0
Male,No,3,Not Graduate,No,28526,1606,3148999,14,1,Semiurban,543,0
Female,Yes,3,Graduate,Yes,30896,8643,4497284,1,1,Semiurban,720,0
Male,No,0,Graduate,No,39443,8316,2822463,14,0,Rural,678,0
Male,No,2,Not Graduate,No,29606,11646,2086991,41,1,Urban,772,0
Male,No,0,Graduate,Yes,41916,10556,834512,5,1,Urban,640,0
Male,No,0,Graduate,Yes,9551,10058,978220,31,1,Rural,422,0
Female,No,1,Not Graduate,No,37436,6250,2064665,31,1,Urban,733,0
Female,No,0,Graduate,Yes,49680,1683,1882981,30,1,Rural,487,0
Male,Yes,0,Graduate,No,4246,11726,419199,36,1,Urban,313,0
Male,Yes,3,Graduate,Yes,41421,19135,2631108,1,1,Rural,369,0
Female,Yes,1,Graduate,No,45901,7663,4290712,3,0,Urban,710,0
Male,No,3,Graduate,Yes,9649,13083,1059424,20,1,Rural,890,0
Female,Yes,3,Graduate,No,43209,19106,4178617,43,0,Rural,617,0
Male,No,2,Graduate,No,2888,13146,4844215,48,1,Urban,736,0
Male,No,2,Graduate,Yes,43983,11253,651946,43,1,Rural,891,1
Female,No,1,Not Graduate,Yes,31424,15736,900340,21,1,Semiurban,445,0
Male,Yes,1,Graduate,No,43559,3223,2173657,30,0,Urban,526,0
Female,No,2,Graduate,No,13075,5441,2235982,42,1,Rural,681,0
Male,No,2,Not Graduate,Yes,24699,9822,1182628,44,1,Urban,479,0
Male,Yes,2,Graduate,Yes,49972,7381,3464804,30,0,Urban,835,0
Male,Yes,2,Graduate,Yes,11950,12863,3017029,5,1,Rural,398,0
Female,No,2,Graduate,Yes,7413,5184,2832753,10,1,Semiurban,690,0
Male,No,3,Graduate,Yes,41305,16653,1246360,24,1,Urban,569,0
Male,Yes,1,Graduate,Yes,5569,9315,3657137,45,1,Semiurban,393,0
Male,Yes,3,Graduate,Yes,3242,4533,4273409,51,1,Semiurban,762,0
Male,Yes,3,Not Graduate,Yes,39097,17426,2177534,39,1,Rural,584,0
Female,No,0,Not Graduate,Yes,32085,14560,2497188,48,0,Rural,321,0
Female,Yes,3,Not Graduate,No,12487,1641,563875,6,1,Urban,301,0
Male,Yes,2,Not Graduate,Yes,20309,15925,4263893,10,0,Rural,402,0
Female,Yes,2,Not Graduate,Yes,32771,10633,744961,59,0,Urban,335,0
Male,No,0,Graduate,No,28638,3297,4627277,42,0,Urban,573,0
Male,Yes,0,Graduate,No,38163,17767,4678195,58,1,Semiurban,350,0
Male,Yes,0,Graduate,No,23615,3996,4409742,43,1,Rural,442,0
Female,Yes,0,Graduate,No,10039,14,2544219,54,1,Rural,782,0
Female,Yes,0,Graduate,No,10198,14895,3419384,10,1,Urban,316,0
Female,Yes,3,Not Graduate,No,36354,1674,2387537,25,1,Semiurban,888,0
Female,No,0,Not Graduate,Yes,5824,5099,1037647,14,1,Rural,577,0
Female,No,3,Graduate,No,25999,17864,2189123,47,1,Semiurban,737,0
Female,No,1,Graduate,No,5436,19430,3093276,39,1,Semiurban,735,0
Female,Yes,0,Graduate,No,30014,7363,1321089,13,1,Urban,683,0
Female,No,0,Not Graduate,Yes,42857,5957,3075452,11,1,Rural,431,0
Female,No,3,Not Graduate,No,18057,4210,244886,39,1,Rural,562,0
Male,No,1,Graduate,Yes,3310,15776,4819767,11,1,Rural,693,0
Female,Yes,3,Not Graduate,No,11819,17359,1791211,46,0,Semiurban,507,0
Female,Yes,3,Graduate,No,15457,18069,4782529,49,1,Rural,525,0
Female,No,0,Not Graduate,Yes,2477,2083,3346369,16,1,Urban,764,0
Female,No,2,Not Graduate,Yes,10906,18070,3388747,33,1,Semiurban,657,0
Female,Yes,2,Graduate,No,11868,4158,1556632,41,1,Rural,443,0
Female,Yes,3,Not Graduate,Yes,20546,16571,207438,41,1,Semiurban,653,1
Female,No,0,Not Graduate,Yes,35276,2782,915936,60,1,Semiurban,550,0
Female,Yes,1,Graduate,No,9319,4100,2951074,32,1,Semiurban,675,0
Female,No,2,Not Graduate,No,35149,11701,2821685,59,1,Urban,544,0
Female,Yes,1,Graduate,No,3845,15525,1466100,10,1,Rural,317,0
Female,No,2,Not Graduate,Yes,25684,18456,3756779,51,1,Rural,784,0
Male,No,0,Graduate,No,31858,97,4724870,15,1,Semiurban,301,0
Male,Yes,3,Graduate,No,47330,9483,615972,16,0,Rural,675,0
Female,No,1,Not Graduate,Yes,44678,3464,604999,43,1,Semiurban,865,1
Female,No,1,Not Graduate,Yes,28667,1787,3351370,27,1,Semiurban,465,0
Male,No,3,Graduate,No,27293,7763,4672884,56,1,Semiurban,628,0
Female,Yes,1,Not Graduate,Yes,26893,683,2850121,57,1,Urban,747,0
Male,Yes,2,Not Graduate,No,6629,16092,3646466,49,1,Rural,391,0
Male,Yes,3,Not Graduate,Yes,7704,1132,1654255,60,0,Semiurban,819,0
Male,No,2,Graduate,No,3776,12314,590076,51,1,Rural,551,0
Male,Yes,2,Graduate,Yes,49996,5877,625343,45,1,Urban,338,0
Male,No,0,Graduate,Yes,33236,13068,1737051,32,0,Urban,735,0
Female,No,2,Not Graduate,Yes,3244,14633,518648,6,1,Semiurban,661,0
Male,Yes,0,Not Graduate,Yes,3333,15758,3575943,47,1,Urban,861,0
Female,Yes,1,Graduate,No,5669,17425,2039645,48,1,Urban,382,0
Female,No,1,Graduate,Yes,19584,11057,922894,36,0,Urban,326,0
Male,No,0,Not Graduate,No,29277,854,1111952,8,1,Urban,888,0
Male,Yes,2,Not Graduate,Yes,3933,5738,1423716,25,1,Urban,320,0
Female,Yes,3,Not Graduate,Yes,35514,2026,4324760,7,1,Urban,517,0
Male,Yes,3,Not Graduate,No,43800,5365,115783,59,1,Rural,344,0
Male,No,0,Graduate,Yes,26357,2550,2079613,17,0,Urban,706,0
Female,No,1,Not Graduate,Yes,29071,7089,329509,48,1,Rural,778,1
Female,No,1,Not Graduate,No,8827,16623,3167323,30,1,Semiurban,863,0
Male,No,3,Graduate,Yes,32844,16873,953261,2,1,Urban,636,0
Female,No,0,Graduate,No,27664,12043,738863,17,1,Urban,447,0
Male,Yes,3,Not Graduate,Yes,2792,1036,388531,57,1,Rural,710,0
Male,Yes,2,Graduate,Yes,41695,19653,129942,4,1,Urban,813,1
Male,No,2,Not Graduate,Yes,19651,6122,3528123,26,1,Rural,871,0
Female,No,0,Not Graduate,No,44510,14578,1787317,14,1,Rural,684,0
Female,Yes,0,Graduate,Yes,41137,15689,2402537,8,1,Urban,781,0
Female,Yes,2,Graduate,Yes,49568,16150,3250508,5,1,Semiurban,400,0
Female,Yes,1,Not Graduate,Yes,21074,11692,1338719,5,1,Semiurban,413,0
Female,Yes,0,Graduate,Yes,9874,12054,1763261,5,1,Semiurban,561,0
Male,No,2,Not Graduate,Yes,18676,1767,4343279,27,0,Rural,721,0
Male,Yes,2,Not Graduate,Yes,41632,4708,3456936,5,0,Rural,353,0
Male,No,1,Not Graduate,Yes,38790,8353,1351775,3,1,Urban,487,0
Male,Yes,1,Graduate,Yes,20032,19390,897094,38,0,Rural,838,0
Female,Yes,1,Not Graduate,Yes,32885,1256,130249,30,1,Semiurban,891,1
Male,Yes,1,Not Graduate,No,13008,10143,2727965,1,1,Urban,489,0
Female,No,3,Not Graduate,Yes,46870,5351,4117133,8,1,Semiurban,846,0
Male,No,1,Graduate,No,45878,14263,2131565,13,1,Urban,357,0
Female,Yes,3,Not Graduate,No,7171,749,1870407,20,1,Semiurban,802,0
Female,No,0,Not Graduate,No,11589,17092,163094,6,1,Urban,488,0
Male,No,2,Not Graduate,Yes,20077,6416,3408786,50,1,Semiurban,847,0
Male,Yes,3,Graduate,No,8710,6950,3283325,50,1,Rural,867,0
Male,Yes,0,Not Graduate,No,22236,12328,3669794,48,1,Semiurban,878,0
Male,No,0,Not Graduate,No,40227,1713,2411386,8,1,Urban,612,0
Female,No,3,Graduate,Yes,16937,12777,1907462,30,1,Semiurban,468,0
Male,No,0,Graduate,No,11754,8308,4714763,49,1,Rural,430,0
Male,Yes,0,Not Graduate,Yes,27688,10673,2925625,40,1,Urban,863,0
Female,Yes,3,Not Graduate,No,9048,15378,763926,15,1,Rural,451,0
Male,No,0,Not Graduate,No,24568,15329,503104,58,1,Semiurban,404,0
Male,Yes,1,Graduate,Yes,34047,13882,999511,10,1,Urban,666,0
Male,Yes,1,Graduate,Yes,11483,16579,940992,33,1,Semiurban,391,0
Male,No,2,Not Graduate,No,19545,4714,4241180,9,1,Urban,731,0
Male,No,0,Graduate,No,19413,10664,2936931,49,0,Rural,878,0
Female,Yes,2,Not Graduate,No,30913,15753,3074017,52,1,Rural,604,0
Male,Yes,1,Not Graduate,Yes,47217,12321,686260,57,1,Rural,327,0
Male,No,1,Graduate,Yes,35746,14630,3461973,33,1,Semiurban,587,0
Male,Yes,1,Not Graduate,No,10709,17658,3106109,9,1,Urban,654,0
Male,Yes,0,Graduate,No,27358,3709,2248635,14,1,Rural,843,0
Male,No,0,Graduate,Yes,13023,338,291411,56,1,Semiurban,703,0
Female,No,1,Not Graduate,Yes,31851,6761,1743766,32,1,Semiurban,435,0
Male,Yes,2,Graduate,No,30756,19895,276218,37,1,Urban,367,0
Female,Yes,2,Not Graduate,Yes,13145,4275,1378467,6,1,Rural,453,0
Female,Yes,3,Graduate,No,23192,11491,3341809,5,1,Semiurban,762,0
Male,No,1,Not Graduate,Yes,49259,18040,4071347,4,1,Rural,625,0
Male,Yes,2,Not Graduate,No,20839,6762,3698838,60,1,Urban,395,0
Male,Yes,1,Not Graduate,No,29410,8834,3590000,48,1,Rural,496,0
Male,No,2,Graduate,No,42160,14358,3928131,16,0,Rural,407,0
Female,No,3,Not Graduate,Yes,13447,9872,3943973,10,0,Semiurban,345,0
Male,Yes,3,Graduate,No,23033,17553,3121607,31,1,Semiurban,485,0
Male,No,1,Graduate,No,43355,8173,977580,31,1,Urban,753,1
Male,No,2,Graduate,Yes,12129,16685,953044,14,1,Urban,622,0
Male,Yes,0,Graduate,No,32358,11333,1471261,13,1,Urban,584,0
Male,No,3,Graduate,No,15907,17950,4410625,60,1,Semiurban,382,0
Male,No,1,Not Graduate,No,23637,11356,4450994,4,1,Urban,626,0
Female,Yes,1,Graduate,Yes,40196,7816,2137745,46,1,Urban,748,0
Female,No,2,Not Graduate,Yes,24369,12149,515802,26,1,Semiurban,620,0
Male,Yes,1,Not Graduate,Yes,31481,18594,2468608,24,1,Urban,444,0
Male,Yes,3,Graduate,Yes,33681,11344,229170,56,0,Semiurban,577,0
Male,No,1,Not Graduate,No,4589,16187,4780006,9,1,Urban,313,0
Female,No,1,Not Graduate,Yes,25560,11851,3363718,35,1,Semiurban,561,0
Male,No,0,Graduate,Yes,5034,7230,1507668,42,1,Rural,713,0
Female,Yes,0,Not Graduate,Yes,2169,8803,2926863,15,1,Semiurban,793,0
Male,No,3,Graduate,No,28913,15795,3843954,24,1,Semiurban,346,0
Male,Yes,2,Graduate,No,5239,1943,2942782,31,1,Semiurban,495,0
Male,No,0,Graduate,No,5415,14015,3813318,19,1,Urban,589,0
Male,No,2,Not Graduate,Yes,21952,8348,2770964,2,1,Semiurban,731,0
Female,No,3,Not Graduate,No,13408,11750,4412805,2,1,Semiurban,819,0
Female,Yes,0,Not Graduate,No,5484,5385,4217510,41,1,Urban,623,0
Male,No,2,Not Graduate,Yes,20225,16639,2881213,36,1,Rural,728,0
Male,No,0,Graduate,No,16923,19494,1314439,37,1,Semiurban,592,0
Female,Yes,3,Graduate,Yes,22936,9243,4629841,34,1,Urban,676,0
Female,Yes,3,Not Graduate,Yes,41612,16273,3574177,57,1,Rural,834,0
Female,No,0,Graduate,No,21410,5032,810669,39,1,Semiurban,383,0
Female,No,2,Not Graduate,Yes,31997,6261,1020413,19,1,Rural,672,0
Male,No,1,Graduate,Yes,38733,18801,3155472,38,1,Semiurban,323,0
Female,Yes,1,Graduate,Yes,41952,18640,4876761,23,1,Semiurban,624,0
Male,Yes,0,Graduate,Yes,23863,2634,81528,16,1,Rural,615,0
Female,Yes,2,Graduate,Yes,7380,1891,4747715,46,1,Rural,849,0
Female,Yes,1,Graduate,Yes,22710,19848,4642473,44,1,Rural,520,0
Female,No,3,Not Graduate,No,17285,10683,700016,6,1,Semiurban,513,0
Female,Yes,2,Not Graduate,Yes,29260,9967,2332039,58,1,Semiurban,771,0
Female,Yes,1,Graduate,Yes,34879,12128,1382736,59,0,Urban,790,0
Male,Yes,2,Not Graduate,Yes,18143,7426,456464,26,1,Urban,384,0
Male,No,0,Graduate,Yes,9413,1970,2557644,22,1,Urban,684,0
Female,No,2,Graduate,No,33578,6771,670832,45,1,Semiurban,303,0
Female,Yes,1,Graduate,No,16726,10684,3948837,47,1,Rural,413,0
Male,Yes,0,Graduate,Yes,29015,12857,3670966,24,1,Urban,514,0
Female,No,2,Not Graduate,No,7983,17032,1802212,46,1,Semiurban,635,0
Female,No,3,Graduate,Yes,21178,9832,2692969,40,0,Rural,466,0
Male,No,1,Not Graduate,Yes,28990,14640,2314238,21,1,Urban,586,0
Female,No,0,Graduate,Yes,12321,12626,3477968,30,1,Rural,794,0
Female,No,2,Graduate,Yes,45829,18485,2767093,52,1,Rural,683,0
Male,No,3,Not Graduate,No,38366,13423,2062813,11,1,Urban,816,0
Male,No,1,Graduate,No,36294,16802,3723433,53,0,Urban,426,0
Male,No,3,Graduate,Yes,42677,16333,4839545,9,1,Semiurban,732,0
Female,Yes,2,Not Graduate,Yes,36737,2352,1996678,12,0,Rural,385,0
Male,Yes,2,Not Graduate,No,43911,1751,2052507,26,0,Urban,897,0
Male,Yes,0,Not Graduate,No,19886,19041,4699790,38,1,Urban,835,0
Male,Yes,3,Graduate,Yes,46296,12167,1418983,51,1,Rural,344,0
Male,Yes,0,Graduate,No,24791,5524,3052824,3,1,Rural,589,0
Male,Yes,1,Not Graduate,Yes,10301,18735,1161903,33,1,Rural,534,0
Male,No,0,Not Graduate,No,37122,15183,4606909,15,1,Urban,456,0
Female,No,1,Graduate,No,40087,17673,2246251,47,1,Urban,705,0
Female,Yes,2,Graduate,No,34993,11315,3272653,5,1,Semiurban,804,0
Male,Yes,2,Not Graduate,No,49288,2702,2460331,54,1,Rural,421,0
Male,No,3,Not Graduate,Yes,37779,8835,2519159,24,1,Urban,523,0
Male,No,1,Not Graduate,Yes,38894,19289,2677484,11,0,Urban,322,0
Female,No,2,Not Graduate,No,35381,14542,4155001,57,1,Rural,496,0
Female,Yes,3,Graduate,Yes,16082,12259,863941,55,1,Urban,778,0
